Date,Open,High,Low,Close,Adj Close,Volume
"$43,774.00","$3,076.75","$3,085.75","$3,069.75","$3,072.00","$3,072.00","$1,124,217.00"
"$43,775.00","$3,071.50","$3,078.00","$3,063.00","$3,075.50","$3,075.50","$1,076,833.00"
"$43,776.00","$3,077.25","$3,097.00","$3,070.25","$3,086.00","$3,086.00","$1,353,330.00"
"$43,777.00","$3,086.25","$3,092.50","$3,072.50","$3,090.50","$3,090.50","$1,080,147.00"
"$43,779.00","$3,090.50","$3,092.25","$3,089.25","$3,089.75","$3,089.75","$216,949.00"
"$43,780.00","$3,090.50","$3,092.25","$3,074.50","$3,087.50","$3,087.50","$844,597.00"
"$43,781.00","$3,087.75","$3,102.00","$3,081.25","$3,092.00","$3,092.00","$1,101,243.00"
"$43,782.00","$3,091.25","$3,097.00","$3,075.75","$3,095.50","$3,095.50","$1,251,057.00"
"$43,783.00","$3,096.25","$3,099.75","$3,081.75","$3,097.00","$3,097.00","$1,105,353.00"
"$43,784.00","$3,097.00","$3,119.50","$3,095.75","$3,118.25","$3,118.25","$1,251,167.00"
"$43,786.00","$3,119.00","$3,119.25","$3,114.00","$3,114.00","$3,114.00","$327,904.00"
"$43,787.00","$3,119.00","$3,127.75","$3,111.00","$3,121.75","$3,121.75","$1,034,214.00"
"$43,788.00","$3,121.50","$3,132.50","$3,112.75","$3,118.50","$3,118.50","$1,195,901.00"
"$43,789.00","$3,116.50","$3,118.50","$3,090.75","$3,109.00","$3,109.00","$1,693,828.00"
"$43,790.00","$3,097.25","$3,114.50","$3,091.25","$3,104.00","$3,104.00","$1,434,552.00"
"$43,791.00","$3,104.00","$3,114.50","$3,097.75","$3,111.50","$3,111.50","$995,416.00"
"$43,793.00","$3,119.00","$3,121.00","$3,116.50","$3,118.25","$3,118.25","$378,247.00"
"$43,794.00","$3,119.00","$3,133.50","$3,116.50","$3,132.75","$3,132.75","$947,831.00"
"$43,795.00","$3,131.25","$3,145.00","$3,128.00","$3,143.75","$3,143.75","$1,068,011.00"
