Month,Coin,Count,Average,Max,Median,Total Amount Assigned,Total Immediate PnL,Average Immediate PnL,,,,
Mar-19,XBTUSD,0,,0,,,0,,,,,
Mar-19,ETHUSD,2,5497.5,10920,5497.5,10995,66.25988173,0.60%,,,,Note
Mar-19,LTCUSD,1,30,30,30,30,0.157865063,0.53%,,,,All Volume is represnted in USD 
Mar-19,BCHUSD,2,9993.5,17487,9993.5,19987,135.3146867,0.68%,,,,Immediate PnL is calculated based on the mark price at the time the assignment was passed over and the price the assignment was received at
Mar-19,XRPUSD,5,12890.4,46312,7999,64452,567.2959828,0.88%,,,,
Mar-19,XRPXBT,0,,0,,,0,,,,,
Apr-19,XBTUSD,17,130371.5882,515677,70000,2216317,20003.1656,0.90%,,,,
Apr-19,ETHUSD,24,149771.3333,1377174,15353,3594512,48320.37879,1.34%,,,,
Apr-19,LTCUSD,15,8868.2,30569,1500,133023,963.2452629,0.72%,,,,
Apr-19,BCHUSD,12,50867.5,267143,8900,610410,9224.271957,1.51%,,,,
Apr-19,XRPUSD,27,20386.48148,275000,5160,550435,5210.010595,0.95%,,,,
Apr-19,XRPXBT,1,27329,27329,27329,27329,220.715876,0.81%,,,,
May-19,XBTUSD,29,259465.2759,2934248,73809,7524493,129816.1155,1.73%,,,,
May-19,ETHUSD,20,158335.05,1537295,15764.5,3166701,57660.67267,1.82%,,,,
May-19,LTCUSD,9,27142.88889,116748,12320,244286,1459.814423,0.60%,,,,
May-19,BCHUSD,10,55727.6,352546,17500.5,557276,5538.137472,0.99%,,,,
May-19,XRPUSD,19,46620.36842,323577,14250,885787,7657.929033,0.86%,,,,
May-19,XRPXBT,2,9876.5,17754,9876.5,19753,87.07223207,0.44%,,,,
Jun-19,XBTUSD,59,284366.8305,5019043,11000,16777643,431807.0556,2.57%,,,,
Jun-19,ETHUSD,26,53141.61538,290000,14453.5,1381682,14316.59562,1.04%,,,,
Jun-19,LTCUSD,20,29811.95,348746,9506.5,596239,6497.001386,1.09%,,,,
Jun-19,BCHUSD,13,31653.30769,95731,23079,411493,1919.610444,0.47%,,,,
Jun-19,XRPUSD,54,29323.25926,259401,6750,1583456,13374.84736,0.84%,,,,
Jun-19,XRPXBT,6,31684,84500,22385.5,190104,1650.21922,0.87%,,,,
Jul-19,XBTUSD,11,843433.1818,2155568,632151,9277765,216757.3036,2.34%,,,,
Jul-19,ETHUSD,53,91734,1392959,14028,4861902,32548.03945,0.67%,,,,
Jul-19,LTCUSD,17,99756.64706,1021651,2454,1695863,29180.65618,1.72%,,,,
Jul-19,BCHUSD,27,58694.18519,667206,10502,1584743,9273.13339,0.59%,,,,
Jul-19,XRPUSD,46,125741.087,1201223,10000,5784090,52111.51631,0.90%,,,,
Jul-19,XRPXBT,11,14468.90909,99998,5000,159158,1150.192175,0.72%,,,,
Aug-19,XBTUSD,6,79069.16667,293054,18474,474415,7042.140532,1.48%,,,,
Aug-19,ETHUSD,10,227649.3,2008222,24441,2276493,57183.5906,2.51%,,,,
Aug-19,LTCUSD,2,250,300,250,500,3.406143182,0.68%,,,,
Aug-19,BCHUSD,9,46105.33333,117135,23500,414948,3417.78245,0.82%,,,,
Aug-19,XRPUSD,65,38785.49231,591638,5900,2521057,19897.83371,0.79%,,,,
Aug-19,XRPXBT,7,43533.85714,100000,34082,304737,2269.036313,0.74%,,,,
Sep-19,XBTUSD,95,224533.6737,4770327,20000,21330699,311719.2006,1.46%,,,,
Sep-19,ETHUSD,73,56357.69863,1268788,4000,4114112,63828.66329,1.55%,,,,
Sep-19,LTCUSD,25,86700.4,717220,6903,2167510,29683.32564,1.37%,,,,
Sep-19,BCHUSD,26,14024.07692,122426,925,364626,1730.053903,0.47%,,,,
Sep-19,XRPUSD,28,65236.32143,810164,2450,1826617,11547.336,0.63%,,,,
Sep-19,XRPXBT,16,39005.375,346200,5240.5,624086,7236.407535,1.16%,,,,
Oct-19,XBTUSD,15,316868.8,2924411,107683,4753032,73361.81716,1.54%,,,,
Oct-19,ETHUSD,2,40520,76500,40520,81040,347.9436585,0.43%,,,,
Oct-19,LTCUSD,8,232944.875,1665645,21903,1863559,32895.59918,1.77%,,,,
Oct-19,BCHUSD,13,23422.69231,143894,7000,304495,3219.027479,1.06%,,,,
Oct-19,XRPUSD,14,20576.71429,81288,12000,288074,1862.777452,0.65%,,,,
Oct-19,XRPXBT,20,38427.4,345915,2300.5,768548,69613.95584,9.06%,,,,
Nov-19,XBTUSD,7,241624.1429,794475,34226,1691369,35183.01279,2.08%,,,,
Nov-19,ETHUSD,5,181630.4,749384,28890,908152,22062.30002,2.43%,,,,
Nov-19,LTCUSD,2,7298.5,9047,7298.5,14597,27.86127045,0.19%,,,,
Nov-19,BCHUSD,8,9656.375,40090,4138.5,77251,616.0635662,0.80%,,,,
Nov-19,XRPUSD,4,44042.75,169336,2534.5,176171,827.6450082,0.47%,,,,
Nov-19,XRPXBT,9,18893.77778,70888,1200,170044,1395.929211,0.82%,,,,
Dec-19,XBTUSD,1,156600,156600,156600,156600,1268.291272,0.81%,,,,
Dec-19,ETHUSD,8,63942.625,210680,12075,511541,3358.80289,0.66%,,,,
Dec-19,LTCUSD,7,4573.857143,23200,1300,32017,122.8321674,0.38%,,,,
Dec-19,BCHUSD,0,,0,,,0,,,,,
Dec-19,XRPUSD,6,13369,69162,1449.5,80214,654.0081251,0.82%,,,,
Dec-19,XRPXBT,1,4145,4145,4145,4145,30.98538906,0.75%,,,,
Jan-20,XBTUSD,3,29431.66667,79900,7000,88295,503.1278041,0.57%,,,,
Jan-20,ETHUSD,1,2298,2298,2298,2298,10.33209302,0.45%,,,,
Jan-20,LTCUSD,8,19878.75,150814,700,159030,1292.774354,0.81%,,,,
Jan-20,BCHUSD,20,43103,218442,14245.5,862060,10379.11964,1.20%,,,,
Jan-20,XRPUSD,1,40213,40213,40213,40213,353.869365,0.88%,,,,
Jan-20,XRPXBT,5,37949.4,115157,42,189747,575.959154,0.30%,,,,
Feb-20,XBTUSD,16,330885.4375,2980767,48728.5,5294167,94500.10192,1.78%,,,,
Feb-20,ETHUSD,12,19119.5,56920,13323.5,229434,1973.96846,0.86%,,,,
Feb-20,LTCUSD,4,6395.5,16000,4370,25582,217.3587741,0.85%,,,,
Feb-20,BCHUSD,12,32659.5,118000,26081,391914,3055.750295,0.78%,,,,
Feb-20,XRPUSD,4,197738.5,752621,19151,790954,18077.18378,2.29%,,,,
Feb-20,XRPXBT,6,137480.3333,382565,53101,824882,13395.27455,1.62%,,,,
Mar-20,XBTUSD,398,168931.0327,9406978,7000,67234551,1053385.201,1.57%,,,,
Mar-20,ETHUSD,343,139817.6531,9383176,10788,47957455,946070.6335,1.97%,,,,
Mar-20,LTCUSD,133,23676.8797,1606565,2500,3149025,26093.77924,0.83%,,,,
Mar-20,BCHUSD,144,31112.86111,846112,4397,4480252,44147.61131,0.99%,,,,
Mar-20,XRPUSD,177,36830.24859,2616185,1005,6518954,106990.8193,1.64%,,,,
Mar-20,XRPXBT,28,49641.5,382565,14956,1389962,17268.23502,1.24%,,,,
Apr-20,XBTUSD,6,271944.6667,1510674,8771,1631668,14064.3098,0.00861959,,,,
Apr-20,ETHUSD,5,28760.8,49763,31761,143804,1107.789667,0.007703469,,,,
Apr-20,LTCUSD,2,25445.5,49591,25445.5,50891,889.0912866,0.017470501,,,,
Apr-20,BCHUSD,10,42353.6,252768,4816.5,423536,4786.399775,0.011301046,,,,
Apr-20,XRPUSD,0,,0,,,0,,,,,
Apr-20,XRPXBT,1,38300,38300,38300,38300,395.9586466,0.010338346,,,,
May-20,XBTUSD,40,105521.125,1157220,27870.5,4220845,42403.96985,0.010046322,,,,
May-20,ETHUSD,42,27067.57143,178303,4114,1136838,7498.265085,0.00659572,,,,
May-20,LTCUSD,6,3192.5,7200,3000,19155,120.9307236,0.006313272,,,,
May-20,BCHUSD,3,11261,30601,3082,33783,220.0496091,0.00651362,,,,
May-20,XRPUSD,14,14192.71429,91065,2748.5,198698,1425.543956,0.007174425,,,,
May-20,XRPXBT,1,41704,41704,41704,41704,549.4847796,0.013175829,,,,
Jun-20,XBTUSD,15,101665,572742,6510,1524975,16794.05023,0.011012672,,,,
Jun-20,ETHUSD,14,77542.57143,688730,8900,1085596,6229.343327,0.005738178,,,,
Jun-20,LTCUSD,3,3506.333333,5599,2500,10519,80.42203036,0.007645406,,,,
Jun-20,BCHUSD,2,39849,79588,39849,79698,668.3023689,0.008385435,,,,
Jun-20,XRPUSD,5,6798.8,11988,10000,33994,234.5760674,0.006900514,,,,
Jun-20,XRPXBT,1,4,4,4,4,0.006588235,0.001647059,,,,
Jul-20,XBTUSD,4,99742.75,380778,8924,398971,9603.412852,0.024070453,,,,
Jul-20,ETHUSD,14,20458.35714,111868,8764.5,286417,1438.507734,0.005022424,,,,
Jul-20,LTCUSD,1,3232,3232,3232,3232,18.65896907,0.005773196,,,,
Jul-20,BCHUSD,0,,0,,,0,,,,,
Jul-20,XRPUSD,1,1820,1820,1820,1820,6.210191083,0.003412193,,,,
Jul-20,XRPXBT,3,12324.33333,30000,6899,36973,311.8794902,0.008435331,,,,
Aug-20,XBTUSD,19,177198.1579,2370463,11700,3366765,27040.03961,0.00803146,,,,
Aug-20,ETHUSD,64,28481.375,177831,8883,1822808,12228.01255,0.006708338,,,,
Aug-20,LTCUSD,16,55278.4375,520972,4075,884455,14070.83709,0.015909048,,,,
Aug-20,BCHUSD,17,12456.94118,80480,7634,211768,726.1685823,0.003429076,,,,
Aug-20,XRPUSD,20,84976,692158,10852,1699520,23317.84705,0.013720255,,,,
Aug-20,XRPXBT,3,5810.666667,15210,1982,17432,149.9779043,0.008603597,,,,
44075,XBTUSD,4,149445.5,529660,34036,597782,12074.76466,0.020199278,,,,
44075,ETHUSD,28,24245.10714,171554,6000,678863,4940.298057,0.007277312,,,,
44075,LTCUSD,7,8674,28999,5500,60718,501.0675079,0.008252372,,,,
44075,BCHUSD,12,41630.41667,234413,5785,499565,4613.446804,0.009234928,,,,
44075,XRPUSD,9,30823.11111,150000,4000,277408,1832.224494,0.0066048,,,,
