TimeStamp,   Open Interest   
27/12/2018," 6,712,841.00 "
28/12/2018," 6,102,796.00 "
29/12/2018," 5,249,530.00 "
30/12/2018," 5,303,303.00 "
31/12/2018," 5,591,833.00 "
01/01/2019," 5,712,266.00 "
02/01/2019," 5,956,713.00 "
03/01/2019," 6,221,946.00 "
04/01/2019," 6,455,212.00 "
05/01/2019," 6,531,456.00 "
06/01/2019," 6,835,449.00 "
07/01/2019," 7,159,541.00 "
08/01/2019," 7,262,000.00 "
09/01/2019," 7,501,094.00 "
10/01/2019," 7,390,181.00 "
11/01/2019," 7,346,543.00 "
12/01/2019," 7,461,169.00 "
13/01/2019," 7,476,757.00 "
14/01/2019," 8,091,005.00 "
15/01/2019," 8,279,188.00 "
16/01/2019," 8,147,539.00 "
17/01/2019," 8,181,598.00 "
18/01/2019," 8,294,736.00 "
19/01/2019," 8,279,640.00 "
20/01/2019," 8,243,896.00 "
21/01/2019," 8,166,881.00 "
22/01/2019," 8,106,569.00 "
23/01/2019," 8,108,931.00 "
24/01/2019," 8,633,745.00 "
25/01/2019," 8,748,821.00 "
26/01/2019," 8,684,521.00 "
27/01/2019," 8,293,950.00 "
28/01/2019," 8,489,564.00 "
29/01/2019," 8,483,989.00 "
30/01/2019," 8,441,462.00 "
31/01/2019," 8,546,619.00 "
01/02/2019," 8,311,147.00 "
02/02/2019," 8,219,239.00 "
03/02/2019," 8,449,029.00 "
04/02/2019," 8,220,075.00 "
05/02/2019," 8,418,047.00 "
06/02/2019," 9,140,986.00 "
07/02/2019," 9,582,184.00 "
08/02/2019," 10,124,750.00 "
09/02/2019," 10,590,140.00 "
10/02/2019," 11,778,300.00 "
11/02/2019," 11,569,880.00 "
12/02/2019," 11,701,950.00 "
13/02/2019," 11,620,540.00 "
14/02/2019," 12,032,200.00 "
15/02/2019," 12,782,860.00 "
16/02/2019," 13,582,100.00 "
17/02/2019," 14,407,790.00 "
18/02/2019," 16,495,060.00 "
19/02/2019," 17,562,510.00 "
20/02/2019," 19,107,200.00 "
21/02/2019," 19,232,910.00 "
22/02/2019," 20,571,270.00 "
23/02/2019," 22,494,710.00 "
24/02/2019," 25,360,670.00 "
25/02/2019," 23,953,860.00 "
26/02/2019," 25,918,090.00 "
27/02/2019," 27,312,040.00 "
28/02/2019," 25,022,510.00 "
01/03/2019," 24,022,930.00 "
02/03/2019," 23,780,420.00 "
03/03/2019," 23,750,220.00 "
04/03/2019," 24,347,970.00 "
05/03/2019," 24,227,410.00 "
06/03/2019," 25,151,010.00 "
07/03/2019," 26,782,160.00 "
08/03/2019," 26,690,570.00 "
09/03/2019," 26,828,240.00 "
10/03/2019," 26,640,760.00 "
11/03/2019," 27,589,070.00 "
12/03/2019," 29,365,260.00 "
13/03/2019," 31,389,980.00 "
14/03/2019," 32,373,050.00 "
15/03/2019," 33,470,470.00 "
16/03/2019," 35,434,280.00 "
17/03/2019," 34,577,660.00 "
18/03/2019," 33,591,712.00 "
19/03/2019," 32,633,600.00 "
20/03/2019," 30,596,270.00 "
21/03/2019," 30,390,960.00 "
22/03/2019," 28,730,270.00 "
23/03/2019," 28,109,500.00 "
24/03/2019," 27,289,470.00 "
25/03/2019," 27,422,760.00 "
26/03/2019," 28,039,200.00 "
27/03/2019," 27,545,670.00 "
28/03/2019," 28,223,370.00 "
29/03/2019," 27,172,740.00 "
30/03/2019," 25,171,040.00 "
31/03/2019," 26,691,000.00 "
01/04/2019," 28,821,520.00 "
02/04/2019," 29,309,230.00 "
03/04/2019," 31,560,880.00 "
04/04/2019," 30,711,150.00 "
05/04/2019," 31,130,290.00 "
06/04/2019," 32,490,920.00 "
07/04/2019," 34,068,160.00 "
08/04/2019," 36,873,728.00 "
09/04/2019," 36,112,088.00 "
10/04/2019," 34,653,272.00 "
11/04/2019," 33,098,580.00 "
12/04/2019," 30,832,610.00 "
13/04/2019," 29,883,250.00 "
14/04/2019," 30,119,050.00 "
15/04/2019," 30,924,220.00 "
16/04/2019," 31,991,120.00 "
17/04/2019," 32,363,870.00 "
18/04/2019," 33,513,390.00 "
19/04/2019," 33,832,928.00 "
20/04/2019," 33,577,568.00 "
21/04/2019," 33,773,648.00 "
22/04/2019," 34,492,200.00 "
23/04/2019," 34,935,048.00 "
24/04/2019," 35,545,200.00 "
25/04/2019," 36,215,112.00 "
26/04/2019," 34,864,512.00 "
27/04/2019," 33,782,980.00 "
28/04/2019," 34,381,632.00 "
29/04/2019," 33,849,072.00 "
30/04/2019," 34,084,260.00 "
01/05/2019," 34,277,728.00 "
02/05/2019," 35,724,448.00 "
